score,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50,ADD BOOKMARK,ADD MARKER,ADD MEMO,ADD_HW_MEMO,ADD_RECOMMENDATION,BOOKMARK_JUMP,CHANGE MEMO,CLEAR_HW_MEMO,CLOSE,CLOSE_RECOMMENDATION,DELETE BOOKMARK,DELETE MARKER,DELETE_MEMO,GETIT,LINK_CLICK,MEMO_JUMP,NEXT,NOTGETIT,OPEN,OPEN_RECOMMENDATION,PAGE_JUMP,PREV,REGIST CONTENTS,SEARCH,SEARCH_JUMP,UNDO_HW_MEMO
72,3,4,4,3,5,5,5,3,5,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3.0,3,3,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,4,3,4.0,4,4,4,4.0,4,4,4,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,3,4,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,3,3,2.0,2,2,3,1,1,1,4,4,4,3,20,248,33,0,0,24,35,0,388,0,4,15,1,2,0,5,5971,0,417,0,5,2439,0,0,0,0
94,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5.0,5,5,1,3,1,1,1,3,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,3,5,1,4,5,5,5,5,5,5,5,3.0,1,3,3,3.0,3,5,3,3.0,4,3,3.0,3,3,5.0,3.0,3.0,5.0,5.0,1,3,3,3.0,3,3.0,3,1.0,3.0,3.0,1.0,1,1,3,1,1,5,5,1,1,1.0,3,1,1,1,1,1,5,3,1,1,4,229,43,3,0,0,22,0,115,0,3,11,6,1,0,9,1361,1,142,0,1,360,0,0,0,0
64,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3.0,3,3,3,3,3,3,3,2,3,2,2,3,1,4,4,4,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,1,3,1,1,4.0,4,4,4,3.0,4,3,4,4.0,3,4,4.0,2,4,2.0,2.0,3.0,3.0,3.0,3,2,4,4.0,2,3.0,4,5.0,3.0,4.0,4.0,3,3,4,3,4,4,5,2,1,3.0,4,4,4,2,1,1,4,3,3,3,6,248,32,0,0,1,14,0,119,0,2,0,0,4,0,0,4072,11,338,0,25,1253,0,0,0,0
75,3,3,4,3,3,4,4,3,3,4,3,3,3,4,2,2,3,2,4,2,4,1,2,3.0,1,3,4,4,5,3,4,3,3,4,3,4,4,5,4,5,1,1,3,1,2,4,1,4,2,4,2,2,4,4,4,1,1,1,2,3,1,4,2,2,3,3,3,3,4,3,3,2,4,3,5,3,1,1,1,4.0,4,4,3,3.0,2,2,4,4.0,3,4,4.0,3,4,2.0,3.0,3.0,4.0,3.0,2,3,3,3.0,4,3.0,3,3.0,4.0,4.0,3.0,3,4,4,3,4,4,5,2,1,2.0,5,4,4,4,5,3,4,2,5,5,4,330,29,0,0,2,84,0,250,0,4,14,0,1,0,0,3620,0,299,0,30,1499,0,1,0,0
67,3,3,4,4,4,4,3,4,3,4,3,3,3,3,2,2,2,3,2,4,3,2,2,2.0,2,2,5,4,5,5,4,2,3,2,2,4,2,4,4,5,2,2,2,4,3,2,2,3,4,3,3,4,4,4,2,2,1,1,3,4,4,5,4,4,4,4,4,4,5,4,4,2,4,4,4,1,2,2,2,4.0,4,4,3,4.0,3,3,4,4.0,2,4,4.0,2,3,4.0,2.0,2.0,3.0,3.0,3,4,3,4.0,4,4.0,3,3.0,3.0,5.0,4.0,4,4,4,2,4,4,5,4,2,3.0,3,3,4,3,5,5,2,4,4,5,2,257,26,3,0,0,17,0,122,1,1,20,1,1,0,0,5037,2,426,0,15,1535,0,0,0,0
84,5,5,5,5,5,3,5,3,5,5,4,5,4,5,5,5,5,5,5,4,5,4,4,5.0,4,5,3,3,4,3,4,3,4,1,2,1,1,2,3,2,1,1,3,1,3,1,1,3,5,4,1,1,2,3,1,1,1,1,3,5,3,5,2,2,2,4,4,5,3,5,5,1,4,1,1,1,1,1,1,5.0,5,5,5,5.0,5,5,5,3.0,4,5,5.0,3,5,3.0,3.0,5.0,5.0,3.0,3,3,3,5.0,5,3.0,5,1.0,5.0,5.0,4.0,3,5,3,3,5,4,5,1,3,1.0,5,1,5,1,1,1,5,1,1,1,26,516,39,0,0,28,7,0,254,0,10,32,0,2,0,0,3587,7,332,0,1,1251,0,0,0,0
77,5,4,5,5,3,3,2,3,4,5,5,5,5,5,4,4,4,3,2,5,4,4,3,3.0,2,3,1,3,3,5,5,3,4,2,4,4,4,4,1,4,2,2,2,4,4,2,3,2,4,5,1,5,4,4,4,1,3,2,2,5,1,5,4,3,4,4,5,3,5,5,4,1,3,2,2,1,3,1,1,5.0,4,5,5,4.0,2,3,3,4.0,2,4,3.0,2,5,3.0,3.0,5.0,3.0,3.0,2,3,5,4.0,3,3.0,4,3.0,5.0,4.0,4.0,5,5,5,2,5,4,5,3,3,2.0,5,2,5,2,4,3,5,5,5,5,13,553,33,16,0,0,47,0,209,1,10,44,1,5,0,0,4418,3,397,0,4,1577,0,0,0,0
82,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,2,1,2.0,2,2,2,2,2,2,2,4,4,1,1,4,1,4,4,4,1,1,3,4,3,1,2,4,4,4,2,3,3,4,2,1,1,1,1,4,3,4,3,3,3,3,3,3,3,3,3,1,1,1,4,1,4,1,4,2.0,4,4,3,4.0,2,2,4,4.0,2,4,4.0,2,4,2.0,2.0,2.0,2.0,2.0,3,3,4,4.0,4,2.0,2,3.0,3.0,4.0,3.0,3,3,3,3,3,3,4,3,2,2.0,3,2,4,3,3,3,4,2,3,3,11,228,41,0,0,4,15,0,262,0,5,21,3,0,0,1,3722,0,322,0,49,1248,0,1,0,0
98,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5.0,5,5,3,3,3,3,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,3,5,5,4,4.0,4,4,4,4.0,4,4,5,5.0,5,5,4.0,4,5,4.0,4.0,4.0,4.0,4.0,4,4,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,5,5,3,4,4,4,4,4,4.0,4,5,4,3,4,4,4,4,4,4,2,282,89,2,0,0,140,0,354,0,1,11,39,1,0,0,5242,1,419,0,215,2601,0,0,0,0
83,4,4,4,4,3,3,3,3,4,4,5,5,4,5,3,5,4,4,3,3,4,3,3,3.0,3,3,3,3,4,3,4,3,3,4,3,4,2,5,5,5,2,2,3,4,3,2,2,3,3,4,1,3,2,3,4,2,2,2,4,4,2,4,3,4,3,2,3,3,4,4,3,3,3,5,5,1,1,1,1,5.0,5,5,5,5.0,4,3,5,4.0,3,5,5.0,3,4,1.0,3.0,3.0,3.0,3.0,2,3,4,4.0,5,4.0,5,2.0,4.0,5.0,4.0,4,5,5,4,5,4,5,2,1,1.0,3,2,4,3,4,4,5,3,5,5,97,556,62,0,0,667,149,0,612,1,14,53,8,3,0,0,8549,2,779,0,135,3256,0,1,0,0
